lng,lat
-80.683319,28.14524
-80.670124,28.115904
-80.654206,28.1214
-80.697137,28.133103
-80.662003,28.136475
-80.664343,28.141683
-80.659503,28.138012
-80.668732,28.142455
-80.670468,28.133949
-80.663646,28.133165
-80.680516,28.141532
-80.702983,28.130423
-80.671272,28.115044
-80.50147,27.871157
-80.48199,27.883844
-80.492026,27.849311
-80.498781,27.859533
-80.50513,27.890374
-80.498942,27.866469
-80.491408,27.883806
-80.490183,27.865088
-80.490703,27.882994
-80.511016,27.865362
-80.495301,27.876763
-80.50656,27.860312
-80.5081,27.859994
-80.519808,27.879853
-80.495178,27.869497
-80.872458,28.746956
-80.870782,28.748972
-80.866919,28.767074
-80.853069,28.731317
-80.880941,28.761484
-80.886687,28.761248
-80.879437,28.757834
-80.859206,28.750292
-80.883406,28.757195
-80.871419,28.728579
-80.862927,28.740193
-80.849662,28.757993
-80.869007,28.760271
-80.878661,28.737284
-80.869513,28.754469
-80.696199,28.135959
-80.701836,28.139703
-80.712342,28.142057
-80.679608,28.128152
-80.700037,28.137393
-80.687846,28.130223
-80.714419,28.145231
-80.694821,28.13673
-80.674852,28.13878
-80.694788,28.143707
-80.683947,28.144106
-80.702698,28.140193
-80.686364,28.143446
-80.699548,28.128342
-80.688798,28.156584
-80.697266,28.153158
-80.660865,28.201852
-80.636001,28.207724
-80.676962,28.192444
-80.658398,28.202634
-80.664095,28.221652
-80.66845,28.20882
-80.646385,28.196405
-80.657474,28.198163
-80.6813,28.211779
-80.65377,28.200153
-80.671168,28.217079
-80.645512,28.209321
-80.673812,28.198884
-80.657652,28.211578
-80.662041,28.186866
-80.662899,28.215679
-80.636512,28.148975
-80.639748,28.1473
-80.632794,28.16346
-80.642077,28.141194
-80.633576,28.152876
-80.618659,28.14445
-80.640938,28.159117
-80.634004,28.153705
-80.644298,28.147762
-80.638127,28.160563
-80.63438,28.158764
-80.635542,28.151606
-80.624242,28.127565
-80.623606,28.141491
-80.627157,28.137326
-80.637132,28.1485
-80.660421,28.049818
-80.667573,28.039727
-80.684408,28.044366
-80.664065,28.060932
-80.676004,28.045376
-80.663526,28.064466
-80.659014,28.043688
-80.643496,28.046261
-80.673836,28.051369
-80.661983,28.058372
-80.646799,28.061311
-80.662388,28.045177
-80.64626,28.064134
-80.660454,28.044694
-80.849909,28.597639
-80.83871,28.590072
-80.854915,28.606082
-80.851368,28.588809
-80.871998,28.595349
-80.84826,28.591288
-80.85319,28.590373
-80.843956,28.592953
-80.837336,28.605088
-80.846935,28.580312
-80.854045,28.599877
-80.834951,28.583364
-80.866003,28.594589
-80.855542,28.596719
-80.838489,28.609783
-80.802468,28.557205
-80.813567,28.555622
-80.805081,28.546306
-80.791341,28.551664
-80.814428,28.564215
-80.820648,28.568159
-80.797028,28.558665
-80.8071,28.560844
-80.785701,28.562781
-80.812693,28.577341
-80.802152,28.551386
-80.798786,28.556326
-80.802491,28.545031
-80.737919,28.373313
-80.747005,28.368782
-80.736526,28.375954
-80.733045,28.359411
-80.732469,28.380769
-80.733476,28.382486
-80.747513,28.371536
-80.731803,28.371339
-80.742861,28.371598
-80.741032,28.379322
-80.76074,28.374171
-80.748489,28.365784
-80.75641,28.365345
-80.741433,28.36842
-80.747249,28.367316
-80.829514,28.638412
-80.833934,28.63368
-80.828031,28.635915
-80.835593,28.640889
-80.820911,28.653413
-80.832516,28.645036
-80.825729,28.652753
-80.83364,28.626744
-80.822786,28.616296
-80.842333,28.634831
-80.844838,28.625958
-80.836864,28.64083
-80.807067,28.624712
-80.81279,28.642773
-80.822303,28.633455
-80.831392,28.641546
-80.662495,28.049604
-80.664157,28.046212
-80.648597,28.064545
-80.673533,28.057106
-80.665744,28.051555
-80.677037,28.040943
-80.678906,28.051987
-80.649349,28.028343
-80.665867,28.059472
-80.661778,28.046797
-80.668868,28.049995
-80.659429,28.070904
-80.664416,28.055332
-80.661039,28.060989
-80.671718,28.059398
-80.66502,28.362305
-80.668515,28.36729
-80.665608,28.36959
-80.664573,28.351276
-80.668684,28.360624
-80.667335,28.345312
-80.683756,28.353525
-80.664421,28.362416
-80.666546,28.356517
-80.681172,28.370841
-80.670728,28.350056
-80.678402,28.355633
-80.663252,28.377646
-80.675546,28.370064
-80.660875,28.343213
-80.666592,28.361562
-80.804465,28.367322
-80.803491,28.344443
-80.816259,28.363349
-80.785323,28.391692
-80.811373,28.370764
-80.79676,28.370174
-80.794241,28.365275
-80.799222,28.366278
-80.802666,28.360082
-80.798799,28.381069
-80.814619,28.363659
-80.814696,28.370502
-80.807679,28.358315
-80.19074,26.172447
-80.199589,26.186681
-80.196824,26.16799
-80.197356,26.165652
-80.205664,26.167344
-80.19135,26.1579
